Error Code,Error Description
612052,Venue State is required.
612053,Venue Zip Code is required.
612054,Venue Zip Code is not valid for the state.
612055,Venue Zip Code must have 5 or 9 digits.
612056,Venue Type of Location is required.
612057,Latitude/Longitude Coordinates are required.
612058,Latitude degrees are required and must be between 0 and 90.
612059,Longitude degrees are required and must be between 0 and 180.
612060,Longitude direction is required and must be either E or W.
612061,First name of Registrant is required.
612062,Last name of Registrant is required.
612063,First name of Contact is required.
612064,Last name of Contact is required.
612065,You must select a single event or weekly recurring event.
612066,Please enter a Single Event Start Date in the following date format: MM/DD/YYYY.
612067,Single Event Start Date must be at least 30 days after the original receipt date.
612068,Please select a Single Event Start Time.
612069,Please enter a Single Event End Date in the following date format: MM/DD/YYYY.
612070,Please select a Single Event End Time.
612071,Please select at least one day of the week.
612072,Please enter a Weekly Recurring Event Start Date in the following date format: MM/DD/YYYY.
612073,Weekly Recurring Event Start Date must be at least 30 days after the original receipt date of the application.
612074,Please select a Weekly Recurring Event Start Time.
612075,Please enter a Weekly Recurring Event End Date in the following date format: MM/DD/YYYY.
612076,Please select a Weekly Recurring Event End Time.
612077,"If Single Event Start Date equals Single Event End Date, the Single Event Start Time must be earlier than the Single Event End Time."
612078,The Single Event End Date can not be more than one year after the start date.
612079,The Weekly Recurring Event Start Time must be earlier than the Weekly Recurring Event End Time.
612080,The Weekly Recurring Event End Date can not be more than one year after the start date.
612081,The Single Event End Date must be the same or later than the start date.
612082,The Weekly Recurring Event End Date must be the same or later than the start date.
612083,Minimum Number of TV Channels is required.
612084,Maximum Number of TV Channels is required.
612085,Minimum Number of TV Channels must be a whole number between 1 and 44.
612086,"Maximum Number of TV Channels must be greater than or equal to minimum number, and less than or equal to 44."
612087,Maximum number of wireless microphones is required.
612088,Maximum number of wireless microphones must be greater than the maximum number of channels minus 1 times six.
612089,Registrant Email is not valid.
612090,Registrant Fax Number must contain 10 digits.
612091,Contact Email is not valid.
612092,Contact Fax Number must contain 10 digits.
612095,You must provide two different Reserved TV Channel numbers.
